market_id,market,countryiso3,admin1,admin2,latitude,longitude
4545,Kilimanjaro Region,TZA,Kilimanjaro,Mwanga,-3.76,37.64
4546,Kigoma Region,TZA,Kigoma,Kasulu,-4.76,30.4
4547,Lindi Region,TZA,Lindi,Liwale,-9.48,38.41
4548,Manyara Region,TZA,Manyara,Simanjiro,-4.53,36.55
4549,Mara Region,TZA,Mara,Butiama,-1.71,34.08
4550,Mbeya Region,TZA,Mbeya,Chunya,-8.23,33.35
4551,Morogoro Region,TZA,Morogoro,Kilombero,-7.92,36.99
4552,Mtwara Region,TZA,Mtwara,Masasi,-10.78,39.12
4553,Njombe Region,TZA,Njombe,Njombe Urban,-9.45,34.71
4554,Pwani Region,TZA,Pwani,Kisarawe,-7.27,38.66
4555,Rukwa Region,TZA,Rukwa,Nkasi,-7.95,31.36
4556,Ruvuma Region,TZA,Ruvuma,Namtumbo,-10.73,36.25
4557,Shinyanga Region,TZA,Shinyanga,Kahama,-3.75,32.94
4558,Simiyu Region,TZA,Simiyu,Meatu,-3.03,34.28
4559,Singida Region,TZA,Singida,Manyoni,-5.75,34.5
4560,Tabora Region,TZA,Tabora,Sikonge,-5.27,32.82
4561,Tanga Region,TZA,Tanga,Handeni,-5.22,38.28
4562,Mwanza Region,TZA,Mwanza,Nyamagana,-2.52,32.91
4601,Mbeya (SIDO),TZA,Mbeya,Mbeya Urban,-8.91,33.46
5527,Tanga,TZA,Tanga,Tanga,-5.08,39.1
5663,Songwe Region,TZA,Mbeya,Chunya,-8.42,33.03
6176,Sumbawanga (Katumba),TZA,Rukwa,Sumbawanga Urban,-8.07,31.67
7951,Kumsenga,TZA,Kigoma,Kasulu Township Authority,-4.57,30.1
7952,Kwa Shayo,TZA,Kigoma,Kasulu Township Authority,-4.56,30.13
7953,Zakhem,TZA,Dar-es-salaam,Temeke,-6.92,39.27
7954,Mbagala Rangi Tatu,TZA,Dar-es-salaam,Temeke,-6.92,39.27
